ages,male_AF_left-volume_0.025_centile,male_AF_left-volume_0.5_centile,male_AF_left-volume_0.975_centile,female_AF_left-volume_0.025_centile,female_AF_left-volume_0.5_centile,female_AF_left-volume_0.975_centile
70.2022022022022,15663.655721478372,33239.79275210397,44975.28991654366,15804.84158821691,32261.340014378726,43247.524637560986
70.29219219219219,15652.293312232563,33230.765432980865,44967.918315180934,15793.87097409031,32252.723600637826,43240.43239529185
70.38218218218218,15640.938923155423,33221.75048513551,44960.56376205539,15782.908090070427,32244.11923162562,43233.35655934591
70.47217217217218,15629.592543010756,33212.747894541855,44953.2262437957,15771.952925044929,32235.52689389191,43226.2971168602
70.56216216216217,15618.254160562554,33203.757647154205,44945.90574700232,15761.005467900808,32226.946573967314,43219.2540549445
70.65215215215215,15606.923764575402,33194.77972890797,44938.60225824844,15750.06570752469,32218.37825836385,43212.22736068212
70.74214214214214,15595.601343814227,33185.81412571908,44931.31576407926,15739.133632802937,32209.821933575095,43205.21702113002
70.83213213213213,15584.286887045095,33176.86082348565,44924.04625101417,15728.20923262198,32201.27758607682,43198.223023319784
70.92212212212212,15572.980383034817,33167.91980808702,44916.793705545424,15717.292495868349,32192.745202326947,43191.245354257466
71.01211211211212,15561.681820551596,33158.99106538514,44909.55811414005,15706.383411429077,32184.224768766366,43184.284000924614
71.10210210210211,15550.391188365022,33150.0745812244,44902.339463239514,15695.481968191621,32175.71627181871,43177.338950278085
71.1920920920921,15539.10847524627,33141.17034143211,44895.137739260506,15684.588155044416,32167.219697891378,43170.410189251284
71.28208208208208,15527.833669968337,33132.27833181884,44887.952928595216,15673.701960876728,32158.73503337526,43163.497704753856
71.37207207207207,15516.566761306189,33123.39853817874,44880.78501761185,15662.823374579015,32150.262264645364,43156.60148367248
71.46206206206206,15505.307738037016,33114.53094628999,44873.63399265519,15651.952385043123,32141.80137806118,43149.72151287135
71.55205205205205,15494.056588940337,33105.67554191499,44866.499840046905,15641.08898116239,32133.352359966833,43142.85777919239
71.64204204204205,15482.81330279823,33096.83231080077,44859.382546085966,15630.233151831913,32124.91519669161,43136.01026945588
71.73203203203204,15471.577868395532,33088.001238679375,44852.28209704923,15619.384885948606,32116.48987454998,43129.17897046056
